inventory_state,entry_id,entry_kind,source_path,source_blob_sha256,line_start,line_end,rule_occurrence_id,rule_family_id,rule_summary,classification,owner,owner_action,required_inputs,interception_point,mechanism_candidate,current_plane,final_plane,disposition,defer_reason,rationale,remaining_witness_or_gap,exclusion_reason
baseline,le-9f8d508bd3cd5fe4,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,1,8,ro-0a9eaf2aad038d8b,rf-2f75144e5558ef9e,--- name: install-custom-agents description: >- Tugite の Codex custom agent を user scope または repository scope に インストール、バージョン確認、更新する。ユーザーが custom agent の導入、再インストール、 バージョン確認、更新、上書きを明示的に依頼した場合、または impl-lead が 必要な custom agent の不足を検出した場合に使う。既存ファイルを確認なしで上書きしない。 ---,deterministic-mechanized,platform installer skill,platform installer skill applies the `document root` obligation summarized as: --- name: install-custom-agents description: >- Tugite の Codex custom agent を user scope または repository scope に インストール、バージョン確認、更新する。ユーザーが custom agent の導入、再インストール、 バージョン確認、更新、上書きを明示的に依頼した場合、または impl-lead が 必要な custom age,requested install scope and observed platform state for `document root`,installer observation/confirmation/execution boundary in `document root`,existing deterministic source projection and metadata/contract validation,Gunte predicate/contract or platform metadata loader,Gunte predicate/contract or platform metadata loader,keep,,the `document root` structured block is consumed or byte-validated as one coherent Data unit,,
baseline,le-af596c0263e7f267,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,9,9,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-d7da77629bdcc361,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,10,10,,,# Custom agent のインストール,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-b02d6ea84e6ee863,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,11,11,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-078b1962b52ee1d1,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,12,13,ro-8a11a6a70dae0662,rf-b31a89babecfdfa8,plugin に同梱された `install/install-agents.sh` を唯一のインストール処理として使う。 TOML を個別にコピーしない。,deterministic-contract-only,platform installer skill,platform installer skill applies the `Custom agent のインストール` obligation summarized as: plugin に同梱された `install/install-agents.sh` を唯一のインストール処理として使う。 TOML を個別にコピーしない。,requested install scope and observed platform state for `Custom agent のインストール`,installer observation/confirmation/execution boundary in `Custom agent のインストール`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `Custom agent のインストール`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `Custom agent のインストール` has no current mechanism consuming requested install scope and observed platform state for `Custom agent のインストール` at installer observation/confirmation/execution boundary in `Custom agent のインストール`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:12-13,
baseline,le-f1e3594a58ee9524,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,14,14,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-ec1cd927ea24410d,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,15,15,,,## 手順,,,,,,,,,context,,,,section label; obligations are in the section body
baseline,le-0e565cd5110097f4,context,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,16,16,,,,,,,,,,,,context,,,,blank separator between semantic blocks
baseline,le-a445f1d0b6484d0d,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,17,17,ro-fe541e83045dae61,rf-46957cac0bc02793,1. 利用可能な custom agent の一覧を先に確認する。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 1. 利用可能な custom agent の一覧を先に確認する。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:17-17,
baseline,le-99dd725340b39929,rule,plugins/codex/skills/install-custom-agents/SKILL.md,e5995c6da264648861c18879282dd5b47fb0a5156c8a4a39fd5582debb72323e,18,19,ro-c83091459475966e,rf-ceaff17f855051e4,2. 対象 scope を確定する。personal install は `--user`、repository install は `--repo <repo-path>` を使う。曖昧な場合はユーザーに確認する。,deterministic-contract-only,platform installer skill,platform installer skill applies the `手順` obligation summarized as: 2. 対象 scope を確定する。personal install は `--user`、repository install は `--repo <repo-path>` を使う。曖昧な場合はユーザーに確認する。,requested install scope and observed platform state for `手順`,installer observation/confirmation/execution boundary in `手順`,separate a deterministic decision from its Action at installer observation/confirmation/execution boundary in `手順`,natural-language Contract,natural-language Contract,retain-contract-only,deferred: `手順` has no current mechanism consuming requested install scope and observed platform state for `手順` at installer observation/confirmation/execution boundary in `手順`; adding that workflow/runtime interception is outside Issue #225,"editorial readback identifies this span as a deterministic ownership, ordering, validation, or prohibition rule; because no current interceptor enforces it, `plugins/codex/skills/install-custom-agents/SKILL.md` remains its natural-language semantic Contract",natural-language source=plugins/codex/skills/install-custom-agents/SKILL.md:18-19,
