record_id,registry,predicate_id,kind,slice_or_path,invariant,current_validation_plane,final_validation_plane,heuristic_flag,disposition,rationale,applicable_mutation_or_nonapplicable_reason,replacement_ids,baseline_identity,final_identity
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-distribution,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-distribution,occurrences,"paths:plugins/claude/references/batch-resolve-kernel.md,plugins/codex/references/batch-resolve-kernel.md","paths:plugins/claude/references/batch-resolve-kernel.md,plugins/codex/references/batch-resolve-kernel.md contains 1 occurrence(s) of: # Batch Resolve Kernel v1",Gunte occurrences,Gunte path/cardinality,no,structure,Path and occurrence count are deterministic structure.,Delete or duplicate the declared occurrence; the same predicate must report an occurrence violation.,,61a7b056d00b495f457de6c759871c73190a0c3b:2474a6f70dcb8e465eefb1aba568e6d3bc55e653a32ff2ba5f9859d4ae1d38f8,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:2474a6f70dcb8e465eefb1aba568e6d3bc55e653a32ff2ba5f9859d4ae1d38f8
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-forbids-84b8683e1d88,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-forbids-84b8683e1d88,forbids,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 excludes forbidden witness: `resolve-kernel-v1`,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:1b2065b6bc1047463cbb1773a3fb817e27c2b6ca7acb7e016294381b90830055,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:1b2065b6bc1047463cbb1773a3fb817e27c2b6ca7acb7e016294381b90830055
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-forbids-b86f12c3c035,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-forbids-b86f12c3c035,forbids,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 excludes forbidden witness: `necessity-kernel-v1`,Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:995f454a7dfababf5a366e6c7ef7c8d6463c50922e4c262c2370fd0595815d6d,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:995f454a7dfababf5a366e6c7ef7c8d6463c50922e4c262c2370fd0595815d6d
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-mention-allowlist,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-mention-allowlist,forbids,"exclude_paths:plugins/claude/references/batch-resolve-kernel.md,plugins/codex/references/batch-resolve-kernel.md,plugins/claude/skills/proposal/SKILL.md,plugins/claude/skills/plan-craft/SKILL.md,plugins/claude/skills/review-loop/SKILL.md,plugins/claude/skills/impl-lead/SKILL.md,plugins/codex/skills/proposal/SKILL.md,plugins/codex/skills/plan-craft/SKILL.md,plugins/codex/skills/review-loop/SKILL.md,plugins/codex/skills/impl-lead/SKILL.md","exclude_paths:plugins/claude/references/batch-resolve-kernel.md,plugins/codex/references/batch-resolve-kernel.md,plugins/claude/skills/proposal/SKILL.md,plugins/claude/skills/plan-craft/SKILL.md,plugins/claude/skills/review-loop/SKILL.md,plugins/claude/skills/impl-lead/SKILL.md,plugins/codex/skills/proposal/SKILL.md,plugins/codex/skills/plan-craft/SKILL.md,plugins/codex/skills/review-loop/SKILL.md,plugins/codex/skills/impl-lead/SKILL.md excludes forbidden witness: batch-resolve-kernel",Gunte forbids,Gunte bounded forbids,no,keep-bounded,The bounded forbidden literal is a deterministic negative interface and does not freeze surrounding prose.,Insert the forbidden literal inside the declared slice/path; the same predicate must fail.,,61a7b056d00b495f457de6c759871c73190a0c3b:229d1b4eff87368881902e484f1ab7d1036207542ec2d17ff33b63469e68c23c,1df3100a2e5c8f8c8368afa086a107362d65f7d45c3ccf1375939cac3728378c:229d1b4eff87368881902e484f1ab7d1036207542ec2d17ff33b63469e68c23c
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-131f273c1ca4,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-131f273c1ca4,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: この Kernel は単独で適用でき、別 Kernel の存在、identity、本文、適用順、結果を成立条件にしない。複数 Kernel を併用 する場合も caller が独立して load、mapping、authority、r…,Gunte requires,EVAL: review-loop-batch-resolution,no,eval,"Kernel independence is a semantic caller-boundary outcome, not a full-paragraph literal.",Deterministic text mutation is nonapplicable; EVAL must keep Kernel loading/mapping independent.,,61a7b056d00b495f457de6c759871c73190a0c3b:7b73b5181bb328bc9be42fd5f3aad2798e759684077d7d64e9ce09b4a634f61d,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-245723105815,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-245723105815,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: `Resolution Transaction` は、一つの Resolution Batch を adjudication から verified snapshot promotion または caller boundary への返…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/F: one Batch is handled through promotion/return and partition remains the atomic promotion boundary.,,61a7b056d00b495f457de6c759871c73190a0c3b:38e272cc24aca599b28f419f2a6854da0af348c13a9c26a2e7c94de1d5911de3,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-2b785b10d8b1,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-2b785b10d8b1,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: counterpart invocation、selection、prompt、result collection は Resolution Transaction の外側に置く。更新後 snapshot を counterpart …,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/C/F: counterpart work stays outside the transaction and post-update observation starts a new Batch/transaction.,,61a7b056d00b495f457de6c759871c73190a0c3b:2419d2afbd9035d8aab8babc3d639662301de2df626376cd8ff12fa84e09e6cf,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-33e2ba0d5671,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-33e2ba0d5671,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: `selected set` は、caller-owned disposition のうち apply 対象となる point の transaction-local な一時集合であり、public verdict や ledger …,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: A/I: selected set remains transaction-local and insufficient-authority points are not guessed into it.,,61a7b056d00b495f457de6c759871c73190a0c3b:fb997e64780433d8f2503215375000e9777ab721fea8d0ca8d14be92d8e6a441,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-3606e2dfbd4e,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-3606e2dfbd4e,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: verify failure では、failing partition を failure を局所化できるより小さい非空 subset へ `isolate` する。二分固定にせず、 resolver が conflict、depen…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: H: failure is localized to a safe nonempty subset without promising a global minimum culprit.,,61a7b056d00b495f457de6c759871c73190a0c3b:4e1c3ca148c0caa79bcffb2c5876b545d3cbb60757419ddb22df32211a5b4704,absent
baseline:contracts/batch-resolve-kernel.toml:batch-resolve-kernel-requires-4d2b4eb75364,contracts/batch-resolve-kernel.toml,batch-resolve-kernel-requires-4d2b4eb75364,requires,slice:batch-resolve-kernel-v1,slice:batch-resolve-kernel-v1 contains required witness: 2つ目以降の partition は origin verified snapshot 上で裁定済みだが、更新済み current verified snapshot 上で apply されるため、apply 前に `applicab…,Gunte requires,EVAL: review-loop-batch-resolution,issue-candidate,eval,Paragraph wording cannot prove an operational transaction decision; the A-I scenario result is the observable oracle.,Deterministic substring mutation is nonapplicable; run review-loop-batch-resolution and require: G: later partitions receive the four-condition applicability check without rerunning counterpart observation.,,61a7b056d00b495f457de6c759871c73190a0c3b:be90dcfe100648c569c492d77cdde9680287b12d012b80c23f21d92dcef87da2,absent
